Timestamp,Local time,A,B,C
1433426102,50.527,50.432,50.401,50.344
1433426115,2.897,2.759,2.727,2.727
1433426127,15.269,15.157,15.126,15.099
1433426139,27.552,27.420,27.358,27.358
1433426152,39.926,39.817,39.754,39.722
1433426164,52.293,52.232,52.181,52.118
1433426177,4.605,4.517,4.484,4.422
1433426100,0.055,59.876,59.933,59.845
1433426112,12.249,12.116,12.148,12.053
1433426124,24.310,24.164,24.195,24.133
1433426136,36.366,36.182,36.213,36.151
1433426148,48.494,48.345,48.409,48.284
1433426160,0.652,0.508,0.571,0.477
1433426172,12.880,12.726,12.757,12.695
1433426098,58.917,58.740,58.740,58.740
1433426110,10.996,10.823,10.854,10.854
1433426123,23.101,22.956,22.956,22.956
1433426135,35.120,34.989,34.989,34.989
1433426147,47.197,47.030,47.030,47.062
1433426159,59.209,59.039,59.039,59.070
1433426171,11.222,11.042,11.042,11.042
